BLOCKID10,ncessch_3,high_schnm,ncessch_2,mid_schnm,ncessch_1,primary_schnm
371559604014054,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559605011005,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559604021047,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559610003071,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559608021002,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559610003067,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559610003070,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559608021004,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608013011,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559610003091,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559608013020,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559610003104,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559608013015,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608021029,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608021011,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608021047,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559608021048,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559618023000,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559615004024,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559615004027,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559611002073,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559612001036,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559612002024,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559611001005,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559611001030,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559611001031,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559611001033,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002234,Janie C Hargrave Elem
371559615002027,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559615003026,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559615004017,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559605011019,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559604021049,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605012013,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605021005,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559606001025,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001589,Union Chapel Elementary
371559605022019,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605022044,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559616012006,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559605023013,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605022042,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605023040,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605023047,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605022052,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559618024011,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559616011030,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616011011,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616011016,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616011031,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616021022,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616012010,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559617001008,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002021,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002025,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617001015,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002030,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002041,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616011036,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559602021050,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001585,Rex-Rennert Elementary
371559613024004,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559607013081,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559617004052,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617001028,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001055,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559620011004,370393002102,Purnell Swett High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559608012074,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002248,West Lumberton Elementary
371559605022051,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605022059,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605023026,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605023035,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559606003000,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001589,Union Chapel Elementary
371559618011041,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559605012016,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559606003031,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559618011094,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559618021006,370393002184,South Robeson High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559619003085,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559619002032,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559617002075,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617002070,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559617003047,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003038,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003046,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619002020,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003052,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619002042,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559617004013,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617003058,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616021073,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616021078,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616023029,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616022049,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559618012012,370393002184,South Robeson High,370393002183,Rowland Middle,370393001588,Southside/Ashpole Elem
371559618012031,370393002184,South Robeson High,370393002183,Rowland Middle,370393001588,Southside/Ashpole Elem
371559601012011,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559616022005,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559619001076,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001085,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616022066,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616022092,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616023046,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616023006,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559602012057,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393001585,Rex-Rennert Elementary
371559602021001,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001585,Rex-Rennert Elementary
371559602012005,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011016,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013040,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011044,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602011046,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013058,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013037,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013052,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013099,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559613011099,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559620013037,370393002102,Purnell Swett High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559602013012,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013022,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559601011026,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559620012054,370393002102,Purnell Swett High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559604011151,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559603001116,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559602022025,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001585,Rex-Rennert Elementary
371559618011010,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559603002036,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559603001010,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559607011032,370393002244,Saint Pauls High,,No Middle School SAB,370393001574,Magnolia Elementary
371559605031047,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559602013076,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013086,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559602013080,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559601011028,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559613024012,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559613011136,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559619002040,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559602012095,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559603002046,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559601011048,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559601011047,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559602021059,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001585,Rex-Rennert Elementary
371559618021005,370393002184,South Robeson High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559602022061,370393002244,Saint Pauls High,,No Middle School SAB,370393001574,Magnolia Elementary
371559605011024,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559615002025,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559616022028,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559614002041,370393002244,Saint Pauls High,,No Middle School SAB,370393001574,Magnolia Elementary
371559604022047,370393002239,Red Springs High,370393001579,Pembroke Middle,370393001589,Union Chapel Elementary
371559608013021,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559604021033,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559604014039,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559604022077,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001589,Union Chapel Elementary
371559605011001,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559605031008,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559620022066,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559620022067,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559608012108,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002248,West Lumberton Elementary
371559613011126,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559618011073,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559607022024,370393002237,Lumberton Senior High,,No Middle School SAB,370393001581,Piney Grove Elementary
371559616011060,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559607022041,370393002237,Lumberton Senior High,,No Middle School SAB,370393001581,Piney Grove Elementary
371559608012007,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002248,West Lumberton Elementary
371559612003000,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559612003002,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559615001006,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559613025004,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559608011011,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559615004039,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559615004058,370393002237,Lumberton Senior High,370393001572,Littlefield Middle,370393002050,East Robeson Primary
371559616012021,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616012029,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616012011,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559617001025,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001044,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559616022046,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559601011036,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559613011109,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559613024009,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559606003019,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559606003053,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002248,West Lumberton Elementary
371559616011034,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559618022041,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559613011088,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559608013019,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002247,W H Knuckles
371559613022026,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002242,Rowland Norment Elementary
371559602013074,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559601011006,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559618011020,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559618011068,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559606002004,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001569,Deep Branch Elementary
371559603001006,370393002239,Red Springs High,370393002240,Red Springs Middle,370393002238,Peterson Elementary
371559607011005,370393002244,Saint Pauls High,,No Middle School SAB,370393001574,Magnolia Elementary
371559614002004,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559601011063,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559616021011,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559616011053,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559601021049,370393002244,Saint Pauls High,370393002245,Saint Pauls Middle,370393002243,Saint Pauls Elementary
371559620011010,370393002102,Purnell Swett High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559613011108,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559618022053,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559613011093,370393002237,Lumberton Senior High,370393002236,Lumberton Junior High,370393002246,Tanglewood Elementary
371559602013031,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559618023005,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559616012052,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559607011042,370393002237,Lumberton Senior High,,No Middle School SAB,370393001574,Magnolia Elementary
371559617001038,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559608011035,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559605022069,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001578,Pembroke Elementary
371559616011072,370393002237,Lumberton Senior High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559620021047,370393002184,South Robeson High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559604022072,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001589,Union Chapel Elementary
371559620011063,370393002102,Purnell Swett High,370393002052,Townsend Middle,370393002051,R B Dean Elementary
371559604013024,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559618024015,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
371559616021087,370393002232,Fairmont High,370393001575,Orrum Middle,370393001573,Long Branch Elementary
371559618011034,370393002102,Purnell Swett High,370393001579,Pembroke Middle,370393001590,Union Elementary
371559604021009,370393002102,Purnell Swett High,,No Middle School SAB,370393001583,Prospect Elementary
371559602012001,370393002244,Saint Pauls High,,No Middle School SAB,370393001577,Parkton Elementary
371559604011058,370393002239,Red Springs High,370393002240,Red Springs Middle,370393001576,Oxendine Elementary
371559619001012,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559617004047,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001003,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619001013,370393002232,Fairmont High,370393002233,Fairmont Middle,370393002241,Rosenwald Elementary
371559619002001,370393002184,South Robeson High,370393001570,Fairgrove Middle,370393001571,Green Grove Elementary
